lattitude,longitude,time
22.1428,10.3772,2022-10-12 18:16:24.109593
19.1883,12.9205,2022-10-12 18:17:25.283573
16.193,15.3641,2022-10-12 18:18:26.461036
13.1649,17.7262,2022-10-12 18:19:27.628068
10.0857,20.0425,2022-10-12 18:20:28.790516
7.0127,22.2913,2022-10-12 18:21:29.970998
3.9267,24.5069,2022-10-12 18:22:31.141770
0.8338,26.704,2022-10-12 18:23:32.310710
-2.2605,28.8971,2022-10-12 18:24:33.493608
-5.3504,31.1005,2022-10-12 18:25:34.666821
-8.4555,33.3472,2022-10-12 18:26:35.859584
-11.5189,35.6154,2022-10-12 18:27:37.061314
-14.5598,37.9389,2022-10-12 18:28:38.225955
-17.5712,40.334,2022-10-12 18:29:39.393299
-20.546,42.8183,2022-10-12 18:30:40.575813
-23.4757,45.4105,2022-10-12 18:31:41.753687
-26.3743,48.1536,2022-10-12 18:32:42.919680
-29.1842,51.0252,2022-10-12 18:33:44.091439
-31.9167,54.0702,2022-10-12 18:34:45.306768
-34.5585,57.3138,2022-10-12 18:35:46.480004
-37.0939,60.7826,2022-10-12 18:36:47.649871
-39.5045,64.5023,2022-10-12 18:37:48.830166
-41.7878,68.533,2022-10-12 18:38:50.010116
-43.8834,72.8314,2022-10-12 18:39:51.206634
-45.7851,77.4455,2022-10-12 18:40:52.377095
-47.4655,82.3828,2022-10-12 18:41:53.593178
-48.9071,87.6809,2022-10-12 18:42:54.841995
-50.0584,93.2288,2022-10-12 18:43:56.024603
-50.9071,99.0235,2022-10-12 18:44:57.211592
-51.4326,104.9993,2022-10-12 18:45:58.398190
-51.6213,111.0729,2022-10-12 18:46:59.567501
-51.4682,117.1516,2022-10-12 18:48:00.749069
-50.9719,123.1902,2022-10-12 18:49:01.922645
-50.1535,129.0057,2022-10-12 18:50:03.090619
-49.0301,134.5803,2022-10-12 18:51:04.261046
-47.6266,139.8667,2022-10-12 18:52:05.424375
-45.9704,144.8386,2022-10-12 18:53:06.594162
-44.09,149.4873,2022-10-12 18:54:07.781643
-42.0127,153.819,2022-10-12 18:55:08.950717
-39.7452,157.881,2022-10-12 18:56:10.131318
-37.3478,161.6294,2022-10-12 18:57:11.316177
-34.8235,165.1239,2022-10-12 18:58:12.602695
-32.1908,168.3908,2022-10-12 18:59:13.775609
-29.4429,171.4806,2022-10-12 19:00:14.946401
-26.6386,174.3686,2022-10-12 19:01:16.130482
-23.7681,177.1043,2022-10-12 19:02:17.326100
-20.8422,179.7097,2022-10-12 19:03:18.506950
-17.8699,-177.7946,2022-10-12 19:04:19.681225
15.7851,-152.9035,2022-10-12 19:15:30.293965
18.8111,-150.4504,2022-10-12 19:16:31.473808
21.7725,-147.9195,2022-10-12 19:17:32.671328
24.6852,-145.2719,2022-10-12 19:18:33.854624
27.5394,-142.4864,2022-10-12 19:19:35.047408
30.324,-139.5404,2022-10-12 19:20:36.258496
33.0477,-136.3832,2022-10-12 19:21:37.443996
35.6516,-133.0401,2022-10-12 19:22:38.608841
38.1411,-129.4597,2022-10-12 19:23:39.786984
40.4969,-125.6159,2022-10-12 19:24:40.975129
42.6974,-121.4835,2022-10-12 19:25:42.148991
44.7341,-117.0044,2022-10-12 19:26:43.350510
46.5471,-112.2382,2022-10-12 19:27:44.553282
48.1255,-107.1485,2022-10-12 19:28:45.936159
49.4504,-101.704,2022-10-12 19:29:47.134002
50.4732,-96.0267,2022-10-12 19:30:48.347599
51.1821,-90.1282,2022-10-12 19:31:49.518910
51.5592,-84.0832,2022-10-12 19:32:50.691278
51.5947,-77.981,2022-10-12 19:33:51.882595
51.2835,-71.8675,2022-10-12 19:34:53.068334
50.6391,-65.9336,2022-10-12 19:35:54.254229
